Phrasal Verb,Meaning,Example,Category
back up,to support someone / to make a copy of data,Always back up your files before updating the system.,Daily Life
break down,to stop working / to lose emotional control,My car broke down on the highway and I had to call for help.,Problems & Solutions
break in,to enter a place illegally / to interrupt,Someone broke in and stole the laptop from the office.,Problems & Solutions
break out,to escape / to start suddenly,A fire broke out in the kitchen last night.,Problems & Solutions
break up,to end a relationship / to separate into parts,They broke up after three years together.,Relationships
bring about,to cause something to happen,The new policy brought about many important changes.,Problems & Solutions
bring back,to return something / to cause to remember,That old song brings back wonderful memories.,Daily Life
bring up,to mention a topic / to raise a child,She brought up an interesting point during the meeting.,Communication
call back,to return a phone call,I'll call you back in about an hour.,Communication
call for,to require / to demand,This situation calls for immediate action.,Problems & Solutions
call off,to cancel something,They called off the wedding at the last minute.,Work & Study
call on,to visit someone / to ask someone to speak,The teacher called on me to answer the question.,Communication
call up,to telephone someone,He called up his old friend after many years.,Communication
carry on,to continue doing something,Please carry on with your work while I'm gone.,Daily Life
carry out,to perform or execute a task,The scientists carried out several important experiments.,Work & Study
catch up,to reach the same level as others / to exchange news with someone,Let's meet for coffee and catch up — it's been ages!,Relationships
check in,to register at a hotel or airport,We need to check in two hours before the flight.,Movement & Travel
check out,to leave a hotel / to look at something,Check out this amazing view from the balcony!,Movement & Travel
come across,to find something by chance / to make an impression,I came across an old photo album in the attic.,Thinking & Ideas
come along,to accompany someone / to make progress,How is your new project coming along?,Movement & Travel
come back,to return to a place,When are you coming back from your trip?,Movement & Travel
come down with,to become ill with something,She came down with the flu last week.,Health & Body
come out,to be published / to become known,The new album comes out next Friday.,Work & Study
come up,to arise unexpectedly / to be mentioned,A new problem came up at the meeting.,Problems & Solutions
come up with,to think of an idea / to produce a solution,She came up with a brilliant idea to save money.,Thinking & Ideas
cut back,to reduce spending or activity,The company had to cut back on expenses last year.,Money & Resources
cut off,to interrupt / to isolate from others,The storm cut off the village from the rest of the country.,Problems & Solutions
cut out,to stop doing something / to remove,Cut it out! Stop making that noise right now.,Daily Life
deal with,to handle a situation / to manage a problem,How do you deal with stress at work?,Problems & Solutions
do without,to manage without having something,We'll have to do without the extra budget this quarter.,Money & Resources
drop in,to visit someone informally and briefly,Feel free to drop in anytime you're nearby.,Relationships
drop off,to fall asleep / to deliver something,I dropped off the package at the post office.,Daily Life
drop out,to quit school or a program,He dropped out of university after one semester.,Work & Study
end up,to eventually be in a situation or place,We ended up staying at a hotel near the airport.,Problems & Solutions
fall apart,to break into pieces / to lose control emotionally,The old book fell apart in my hands.,Emotions
fall behind,to fail to keep up with others,Don't fall behind on your homework or you'll struggle.,Work & Study
fall for,to be tricked by / to fall in love with,Don't fall for that online scam.,Relationships
fall out,to have a serious disagreement,The two best friends fell out over a small misunderstanding.,Relationships
figure out,to understand or solve something,I can't figure out how to use this new app.,Thinking & Ideas
fill in,to complete a form / to substitute for someone,Fill in the blanks with the correct word.,Work & Study
fill out,to complete a form with information,Please fill out this application form carefully.,Work & Study
find out,to discover or learn new information,I found out the truth about what had happened.,Thinking & Ideas
get along,to have a good relationship with someone,Do you get along with your new neighbors?,Relationships
get away,to escape / to go on holiday,We need to get away for a few days and relax.,Movement & Travel
get back,to return to a place / to recover something,When did you get back from your vacation?,Movement & Travel
get by,to manage or survive with little,We can get by on a smaller budget if we're careful.,Money & Resources
get down,to depress someone / to descend from something,This rainy weather really gets me down.,Emotions
get in,to enter a place / to arrive,What time does your train get in tonight?,Movement & Travel
get off,to leave a bus or train / to avoid punishment,Get off at the next stop and turn left.,Movement & Travel
get on,to board a vehicle / to have a good relationship,She gets on well with everyone at work.,Movement & Travel
get out,to leave a place,Let's get out of here and find a better restaurant.,Movement & Travel
get over,to recover from an illness or difficult experience,It took a long time to get over the breakup.,Emotions
get through,to finish something / to reach someone by phone,I finally got through to customer service after an hour.,Communication
get up,to rise from bed / to stand up,I usually get up at seven o'clock every morning.,Daily Life
give away,to give something for free / to reveal a secret,He gave away all his old books to the library.,Daily Life
give back,to return something to its owner,Could you give back the money you borrowed?,Daily Life
give in,to surrender / to stop resisting,Don't give in to pressure from others.,Emotions
give out,to distribute / to stop working,The volunteers gave out free food to the community.,Daily Life
give up,to stop trying / to quit something,Never give up on your dreams and ambitions.,Emotions
go ahead,to proceed with something,Go ahead and start without me.,Communication
go along with,to agree with someone or something,I'll go along with whatever the team decides.,Relationships
go back,to return to a place or topic,We should go back and review the main points.,Movement & Travel
go for,to choose something / to try to achieve something,I'll go for the salmon — it looks delicious.,Daily Life
go off,to explode / to sound an alarm / to go bad,My alarm went off at six this morning.,Daily Life
go on,to continue / to happen,What's going on here? Why is everyone shouting?,Daily Life
go out,to leave the house / to stop burning,The lights went out suddenly during the storm.,Daily Life
go over,to review something / to exceed a limit,Let's go over the main points one more time.,Work & Study
go through,to experience something difficult / to examine,She went through a lot of hardship last year.,Emotions
grow up,to become an adult / to mature,Where did you grow up as a child?,Daily Life
hand in,to submit work to someone,Please hand in your assignments by Friday at noon.,Work & Study
